Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	IP Delay Window(mV/V)	IP sum window 1-1	Pint(V)	Pext(V)	T int(°C)	T log(°C)	Latitude	Longitude	
2017-07-04 16:49:09	74	1495	3	13	0	0	17.5	0	0	15.5	0	0	16	0	0	15.5	0	0.747		70.3336	180.171	0.711161	0	10.1113	0.0489048	272.275	2	0	19.444709201315	12.8681	12.6554	43.7555	0	52.4048	9.82074	
2017-07-04 16:49:09	74	1496	6	13	0	0	17.5	0	0	15	0	0	15.5	0	0	15.25	0	0.853		70.3336	180.171	0.505326	0	7.1847	0.0427676	225.714	2	0	18.4732077862892	12.8681	12.6554	43.7555	0	52.4048	9.82074	
2017-07-04 16:49:00	73	1497	3	8.5	0	0	13	0	0	11	0	0	11.5	0	0	11	0	0.747		48.4827	180.388	0.405184	0	8.3573	0.0456951	225.045	2	0	17.6627799445958	12.8947	12.6642	44.0154	0	52.4048	9.82073	
2017-07-04 16:49:00	73	1498	6	8.5	0	0	13	0	0	10.5	0	0	11	0	0	10.75	0	0.853		48.4827	180.388	0.330328	0	6.81333	0.0398253	214.047	2	0	15.2627217638982	12.8947	12.6642	44.0154	0	52.4048	9.82073	
2017-07-04 16:49:00	73	1499	2	8.5	0	0	13	0	0	10	0	0	10.5	0	0	10.5	0	0.747		48.4827	180.388	0.378878	0	7.8147	0.0417977	210.434	2	0	16.4281161643722	12.8947	12.6642	44.0154	0	52.4048	9.82073	
2017-07-04 16:48:50	72	1500	6	4	0	0	8.5	0	0	6	0	0	6.5	0	0	6.25	0	0.853		45.59	179.953	0.412	0	9.03706	0.0366412	283.907	2	0	15.6646255018335	12.8947	12.6642	44.1454	0	52.4048	9.82071	
2017-07-04 16:48:50	72	1501	5	4	0	0	8.5	0	0	5	0	0	5.5	0	0	5.75	0	0.509		45.59	179.953	0.809126	0	17.7479	0.0504008	292.722	2	0	19.7906150534488	12.8947	12.6642	44.1454	0	52.4048	9.82071	
2017-07-04 16:48:40	71	1502	3	12.5	0	0	17	0	0	15	0	0	15.5	0	0	15	0	0.747		66.2157	180.248	0.530605	0	8.01329	0.0252853	215.781	2	0	18.4445877212011	12.8947	12.6642	44.1454	0	52.4048	9.8207	
2017-07-04 16:48:40	71	1503	2	12.5	0	0	17	0	0	14	0	0	14.5	0	0	14.5	0	0.747		66.2157	180.248	0.53608	0	8.09597	0.0284623	218.008	2	0	21.4336682339008	12.8947	12.6642	44.1454	0	52.4048	9.8207	
2017-07-04 16:48:40	71	1504	4	12.5	0	0	17	0	0	16	0	0	16.5	0	0	15.5	0	0.268		66.2157	180.248	2.06302	0	31.1561	0.0243309	189.009	2	0	18.3554499312369	12.8947	12.6642	44.1454	0	52.4048	9.8207	
2017-07-04 16:48:40	71	1505	5	12.5	0	0	17	0	0	13.5	0	0	14	0	0	14.25	0	0.509		66.2157	180.248	0.784242	0	11.8437	0.0227757	195.343	2	0	17.9225901657377	12.8947	12.6642	44.1454	0	52.4048	9.8207	
2017-07-04 16:49:09	74	1506	2	13	0	0	17.5	0	0	14.5	0	0	15	0	0	15	0	0.747		70.3336	180.171	0.550021	0	7.82018	0.0478391	210.581	2	0	19.6911617283678	12.8681	12.6554	43.7555	0	52.4048	9.82074	
2017-07-04 16:48:40	71	1507	7	12.5	0	0	17	0	0	15.5	0	0	16	0	0	15.25	0	0.509		66.2157	180.248	0.95553	0	14.4306	0.028071	238.009	2	0	20.5674726166425	12.8947	12.6642	44.1454	0	52.4048	9.8207	
2017-07-04 16:48:40	71	1508	1	12.5	0	0	17	0	0	13	0	0	13.5	0	0	14	0	0.268		66.2157	180.248	2.23528	0	33.7576	0.0209293	204.791	2	0	18.9940170639962	12.8947	12.6642	44.1454	0	52.4048	9.8207	
2017-07-04 16:49:00	73	1509	5	8.5	0	0	13	0	0	9.5	0	0	10	0	0	10.25	0	0.509		48.4827	180.388	0.569774	0	11.7521	0.0431509	193.832	2	0	18.0200041231924	12.8947	12.6642	44.0154	0	52.4048	9.82073	
2017-07-04 16:48:31	70	1510	3	8	0	0	12.5	0	0	10.5	0	0	11	0	0	10.5	0	0.747		53.8708	180.029	0.416198	0	7.72585	0.0304432	208.041	2	0	16.0993426415736	12.8947	12.6642	44.1454	0	52.4048	9.8207	
2017-07-04 16:48:31	70	1511	6	8	0	0	12.5	0	0	10	0	0	10.5	0	0	10.25	0	0.853		53.8708	180.029	0.366529	0	6.80385	0.0299693	213.749	2	0	16.4912555877233	12.8947	12.6642	44.1454	0	52.4048	9.8207	
2017-07-04 16:48:22	69	1512	7	3.5	0	0	8	0	0	6.5	0	0	7	0	0	6.25	0	0.509		49.8735	179.706	0.629462	0	12.6212	0.0367833	208.166	2	0	16.4650482748628	12.8947	12.6642	44.1454	0	52.4048	9.8207	
2017-07-04 16:48:22	69	1513	3	3.5	0	0	8	0	0	6	0	0	6.5	0	0	6	0	0.747		49.8735	179.706	0.48236	0	9.67168	0.0335165	260.438	2	0	15.5025804355585	12.8947	12.6642	44.1454	0	52.4048	9.8207	
2017-07-04 16:48:22	69	1514	6	3.5	0	0	8	0	0	5.5	0	0	6	0	0	5.75	0	0.853		49.8735	179.706	0.456584	0	9.15485	0.03173	287.608	2	0	15.5310852590246	12.8947	12.6642	44.1454	0	52.4048	9.8207	
2017-07-04 16:48:22	69	1515	2	3.5	0	0	8	0	0	5	0	0	5.5	0	0	5.5	0	0.747		49.8735	179.706	0.592655	0	11.8832	0.0376107	319.989	2	0	17.9370035969362	12.8947	12.6642	44.1454	0	52.4048	9.8207	
2017-07-04 16:48:11	68	1516	6	12	0	0	16.5	0	0	14	0	0	14.5	0	0	14.25	0	0.853		70.2135	179.858	0.530288	0	7.5525	0.028594	237.269	2	0	20.4367337644428	12.8769	12.6642	43.7555	0	52.4048	9.82071	
2017-07-04 16:48:11	68	1517	2	12	0	0	16.5	0	0	13.5	0	0	14	0	0	14	0	0.747		70.2135	179.858	0.548589	0	7.81315	0.0251564	210.392	2	0	16.6093706232923	12.8769	12.6642	43.7555	0	52.4048	9.82071	
2017-07-04 16:48:01	67	1518	5	7.5	0	0	12	0	0	10	0	0	10.5	0	0	10	0	0.747		46.133	179.706	0.348268	0	7.5492	0.0318828	203.284	2	0	16.4181265426038	12.8947	12.6642	44.2753	0	52.4048	9.8207	
2017-07-04 16:43:31	36	1519	3	5.5	0	0	14.5	0	0	8.5	0	0	9.5	0	0	9.5	0	1.495		52.4302	179.383	0.265717	0	5.06801	0.0339146	272.942	2	0	13.4524464238172	12.8947	12.6642	44.7951	0	52.4047	9.82068	
2017-07-04 16:44:05	40	1520	6	7.5	0	0	16.5	0	0	11.5	0	0	12.5	0	0	12	0	1.706		49.0334	177.58	0.168454	0	3.43548	0.0329342	215.858	2	0	40.0083385966784	12.8947	12.6731	44.7951	0	52.4048	9.82072	
2017-07-04 16:42:49	31	1521	4	3	0	0	12	0	0	7	0	0	8	0	0	7.5	0	1.706		29.1746	179.416	0.116522	0	3.99397	0.0186899	250.948	2	0	10.5056277824142	12.8947	12.6731	44.925	0	52.4047	9.8207	
2017-07-04 16:45:39	51	1522	5	1	0	0	5.5	0	0	2	0	0	2.5	0	0	2.75	0	0.509		38.1518	178.967	0.803601	0	21.0632	0.0329714	347.404	2	0	16.1564593716216	12.8947	12.6642	44.5352	0	52.4048	9.8207	
2017-07-04 16:42:32	29	1523	4	11	0	0	20	0	0	18	0	0	19	0	0	17	0	0.536		42.2836	177.377	0.973744	0	23.0289	0.0335216	279.41	2	0	19.1991959110271	12.8947	12.6642	44.925	0	52.4047	9.82072	
2017-07-04 16:42:49	31	1524	6	3	0	0	12	0	0	9	0	0	10	0	0	8.5	0	1.018		29.1746	179.416	0.171509	0	5.87872	0.0304278	193.92	2	0	16.7104824021882	12.8947	12.6731	44.925	0	52.4047	9.8207	
2017-07-04 16:42:40	30	1525	8	2.5	0	0	11.5	0	0	7.5	0	0	8.5	0	0	7.5	0	1.495		36.0558	178.773	0.149374	0	4.14285	0.00919798	223.117	2	0	17.2261807776642	12.8947	12.6731	45.055	0	52.4047	9.82072	
2017-07-04 16:42:23	28	1526	1	2	0	0	11	0	0	3	0	0	4	0	0	5	0	0.536		28.5709	177.931	0.695502	0	24.343	0.0359809	295.355	2	0	15.9770084870657	12.8947	12.6642	45.1849	0	52.4047	9.82072	
2017-07-04 16:42:32	29	1527	3	11	0	0	20	0	0	16	0	0	17	0	0	16	0	1.495		42.2836	177.377	0.226938	0	5.36704	0.0193816	289.046	2	0	11.0534473309422	12.8947	12.6642	44.925	0	52.4047	9.82072	
2017-07-04 16:44:21	42	1528	3	8.5	0	0	17.5	0	0	13.5	0	0	14.5	0	0	13.5	0	1.495		67.732	179.322	0.317147	0	4.68238	0.0322817	252.174	2	0	15.8694535026106	12.8947	12.6642	44.6651	0	52.4048	9.82071	
2017-07-04 16:46:21	56	1529	4	6	0	0	10.5	0	0	8	0	0	8.5	0	0	8.25	0	0.853		36.5285	179.508	0.2695	0	7.37781	0.0327078	231.781	2	0	14.6363402523576	12.8947	12.6642	44.2753	0	52.4048	9.82079	
2017-07-04 16:42:32	29	1530	6	11	0	0	20	0	0	15	0	0	16	0	0	15.5	0	1.706		42.2836	177.377	0.165863	0	3.92264	0.0269593	246.466	2	0	14.0675848734925	12.8947	12.6642	44.925	0	52.4047	9.82072	
2017-07-04 16:44:21	42	1531	6	8.5	0	0	17.5	0	0	12.5	0	0	13.5	0	0	13	0	1.706		67.732	179.322	0.248099	0	3.66295	0.0348625	230.15	2	0	13.1254680131762	12.8947	12.6642	44.6651	0	52.4048	9.82071	
2017-07-04 16:46:21	56	1532	2	6	0	0	10.5	0	0	7	0	0	7.5	0	0	7.75	0	0.509		36.5285	179.508	0.489091	0	13.3893	0.0350483	220.835	2	0	16.3531750769877	12.8947	12.6642	44.2753	0	52.4048	9.82079	
2017-07-04 16:42:23	28	1533	2	2	0	0	11	0	0	4	0	0	5	0	0	5.5	0	1.018		28.5709	177.931	0.265936	0	9.30795	0.0240371	307.039	2	0	12.9315093624529	12.8947	12.6642	45.1849	0	52.4047	9.82072	
2017-07-04 16:39:48	7	1534	7	0.5	0	0	14	0	0	11	0	0	12.5	0	0	9.5	0	0.803		53.65	179.941	0.582832	0	10.8636	0.0345348	197.713	2	0	18.4405468039234	12.8947	12.6642	46.2245	0	52.4047	9.82074	
2017-07-04 16:40:16	11	1535	6	2.5	0	0	16	0	0	11.5	0	0	13	0	0	10.75	0	1.527		50.8499	179.067	0.221522	0	4.35639	0.0272092	215.555	2	0	13.458748478214	12.8947	12.6731	45.9646	0	52.4047	9.82071	
2017-07-04 16:42:23	28	1536	3	2	0	0	11	0	0	5	0	0	6	0	0	6	0	1.495		28.5709	177.931	0.177818	0	6.22375	0.0305477	335.185	2	0	14.3035058930726	12.8947	12.6642	45.1849	0	52.4047	9.82072	
2017-07-04 16:42:15	27	1537	3	10.5	0	0	19.5	0	0	15.5	0	0	16.5	0	0	15.5	0	1.495		50.8421	179.703	0.278731	0	5.48229	0.0305511	295.253	2	0	13.2240065411202	12.8947	12.6731	45.1849	0	52.4047	9.82072	
2017-07-04 16:48:31	70	1538	2	8	0	0	12.5	0	0	9.5	0	0	10	0	0	10	0	0.747		53.8708	180.029	0.419278	0	7.78302	0.0327617	209.581	2	0	17.084416407655	12.8947	12.6642	44.1454	0	52.4048	9.8207	
2017-07-04 16:48:01	67	1539	6	7.5	0	0	12	0	0	10.5	0	0	11	0	0	10.25	0	0.509		46.133	179.706	0.579394	0	12.5592	0.0274045	207.143	2	0	16.3578771746251	12.8947	12.6642	44.2753	0	52.4048	9.8207	
2017-07-04 16:48:01	67	1540	1	7.5	0	0	12	0	0	8	0	0	8.5	0	0	9	0	0.268		46.133	179.706	1.5071	0	32.6686	0.0348952	198.185	2	0	17.4141610546461	12.8947	12.6642	44.2753	0	52.4048	9.8207	
2017-07-04 16:42:15	27	1541	1	10.5	0	0	19.5	0	0	11.5	0	0	12.5	0	0	13.5	0	0.536		50.8421	179.703	0.846823	0	16.656	0.0418379	202.087	2	0	16.2285148955302	12.8947	12.6731	45.1849	0	52.4047	9.82072	
2017-07-04 16:47:15	62	1542	4	15.5	0	0	20	0	0	19	0	0	19.5	0	0	18.5	0	0.268		75.4088	179.138	2.73416	0	36.2579	0.0476234	219.959	2	0	22.0041104151515	12.8947	12.6642	44.2753	0	52.4047	9.8207	
2017-07-04 16:40:36	14	1543	7	4	0	0	17.5	0	0	13	0	0	14.5	0	0	12.25	0	1.527		63.7003	179.063	0.334297	0	5.24797	0.0183875	259.67	2	0	14.8132131091894	12.8947	12.6642	45.7047	0	52.4047	9.82072	
2017-07-04 16:44:05	40	1544	1	7.5	0	0	16.5	0	0	8.5	0	0	9.5	0	0	10.5	0	0.536		49.0334	177.58	0.833946	0	17.0077	0.0399764	206.355	2	0	39.3111505967436	12.8947	12.6731	44.7951	0	52.4048	9.82072	
2017-07-04 16:42:06	26	1545	2	1.5	0	0	10.5	0	0	4.5	0	0	5.5	0	0	5.5	0	1.495		39.3755	179.016	0.247738	0	6.29169	0.0722316	338.844	2	0	148.67941262388	12.8769	12.6731	44.7951	0	52.4047	9.8207	
2017-07-04 16:42:57	32	1546	2	3.5	0	0	12.5	0	0	5.5	0	0	6.5	0	0	7	0	1.018		46.2648	179.656	0.459833	0	9.93915	0.0199968	327.86	2	0	16.2961029831193	12.8947	12.6731	44.925	0	52.4047	9.82069	
2017-07-04 16:42:06	26	1547	1	1.5	0	0	10.5	0	0	2.5	0	0	3.5	0	0	4.5	0	0.536		39.3755	179.016	1.00548	0	25.5357	0.0515199	309.825	2	0	150.401534477835	12.8769	12.6731	44.7951	0	52.4047	9.8207	
2017-07-04 16:40:09	10	1548	7	2	0	0	15.5	0	0	12.5	0	0	14	0	0	11	0	0.803		41.1383	179.027	0.566584	0	13.7727	0.0188406	250.657	2	0	15.2785698112026	12.8947	12.6731	45.9646	0	52.4047	9.82073	
2017-07-04 16:42:06	26	1549	6	1.5	0	0	10.5	0	0	5.5	0	0	6.5	0	0	6	0	1.706		39.3755	179.016	0.188347	0	4.78336	0.0656334	300.548	2	0	137.830873621221	12.8769	12.6731	44.7951	0	52.4047	9.8207	
2017-07-04 16:41:58	25	1550	7	10	0	0	19	0	0	16	0	0	17	0	0	15.5	0	1.018		54.62	179.46	0.498592	0	9.12837	0.0244642	301.115	2	0	13.2408323218306	12.8947	12.6642	45.1849	0	52.4048	9.8207	
2017-07-04 16:41:42	23	1551	4	9.5	0	0	18.5	0	0	16.5	0	0	17.5	0	0	15.5	0	0.536		57.1622	180.127	1.23081	0	21.5319	0.0355738	261.247	2	0	17.3921595182372	12.8947	12.6642	45.3149	0	52.4048	9.8207	
2017-07-04 16:45:39	51	1552	1	1	0	0	5.5	0	0	1.5	0	0	2	0	0	2.5	0	0.268		38.1518	178.967	2.06276	0	54.0672	0.0467341	328	2	0	19.5965648165928	12.8947	12.6642	44.5352	0	52.4048	9.8207	
2017-07-04 16:47:33	64	1553	3	7	0	0	11.5	0	0	8.5	0	0	9	0	0	9	0	0.747		38.0237	179.598	0.320201	0	8.4211	0.0268287	226.763	2	0	15.5732462808209	12.8947	12.6642	44.2753	0	52.4047	9.8207	
