 El-array Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 Schlum. VES 0.00 43.00 21.00 22.00 25.08 0.0 0.00 -56.0 17.713 1025.036
 Schlum. VES 0.00 41.00 20.00 21.00 24.31 0.0 0.00 -56.0 3.395 184.261
 Schlum. VES 0.00 39.00 19.00 20.00 25.21 0.0 0.00 -56.0 19.264 912.330
 Schlum. VES 0.00 37.00 18.00 19.00 25.09 0.0 0.00 -56.0 15.634 669.605
 Schlum. VES 0.00 35.00 17.00 18.00 25.08 0.0 0.00 -56.0 5.805 222.464
 Schlum. VES 0.00 33.00 16.00 17.00 24.00 0.0 0.00 -56.0 14.757 525.355
 Schlum. VES 0.00 31.00 15.00 16.00 23.83 0.0 0.00 -56.0 7.407 234.374
 Schlum. VES 0.00 29.00 14.00 15.00 21.86 0.0 0.00 -56.0 14.133 426.508
 Schlum. VES 0.00 27.00 13.00 14.00 21.74 0.0 0.00 -56.0 11.883 312.482
 Schlum. VES 0.00 25.00 12.00 13.00 21.37 0.0 0.00 -56.0 21.884 501.867
 Schlum. VES 0.00 23.00 11.00 12.00 21.09 0.0 0.00 -56.0 10.757 211.486
 Schlum. VES 0.00 21.00 10.00 11.00 21.34 0.0 0.00 -56.0 19.811 320.839
 Schlum. VES 0.00 19.00 9.00 10.00 21.78 0.0 0.00 -56.0 77.928 1011.602
 Schlum. VES 0.00 17.00 8.00 9.00 21.53 0.0 0.00 -56.0 23.867 250.699
 Schlum. VES 0.00 15.00 7.00 8.00 20.32 0.0 0.00 -56.0 16.384 141.867
 Schlum. VES 0.00 13.00 6.00 7.00 20.68 0.0 0.00 -56.0 17.351 110.728
 Schlum. VES 0.00 11.00 5.00 6.00 20.31 0.0 0.00 -56.0 16.995 78.853
 Schlum. VES 0.00 9.00 4.00 5.00 18.97 0.0 0.00 -56.0 11.718 38.802
 Schlum. VES 0.00 7.00 3.00 4.00 17.61 0.0 0.00 -56.0 7.890 16.891
 Schlum. VES 0.00 5.00 2.00 3.00 17.33 0.0 0.00 -56.0 6.498 7.068
 Schlum. VES 0.00 3.00 1.00 2.00 16.76 0.0 0.00 -56.0 22.017 8.254
 Schlum. VES 1.00 42.00 21.00 22.00 25.06 0.0 0.00 -56.0 15.615 822.290
 Schlum. VES 1.00 40.00 20.00 21.00 23.97 0.0 0.00 -56.0 1.698 84.540
 Schlum. VES 1.00 38.00 19.00 20.00 24.78 0.0 0.00 -56.0 2.600 112.736
 Schlum. VES 1.00 36.00 18.00 19.00 24.88 0.0 0.00 -56.0 5.436 210.006
 Schlum. VES 1.00 34.00 17.00 18.00 24.82 0.0 0.00 -56.0 10.026 345.135
 Schlum. VES 1.00 32.00 16.00 17.00 23.80 0.0 0.00 -56.0 3.357 106.352
 Schlum. VES 1.00 30.00 15.00 16.00 23.58 0.0 0.00 -56.0 6.046 169.147
 Schlum. VES 1.00 28.00 14.00 15.00 21.62 0.0 0.00 -56.0 3.529 93.303
 Schlum. VES 1.00 26.00 13.00 14.00 21.46 0.0 0.00 -56.0 3.618 82.615
 Schlum. VES 1.00 24.00 12.00 13.00 21.13 0.0 0.00 -56.0 5.347 104.922
 Schlum. VES 1.00 22.00 11.00 12.00 20.91 0.0 0.00 -56.0 45.605 753.711
 Schlum. VES 1.00 20.00 10.00 11.00 21.00 0.0 0.00 -56.0 5.767 77.623
 Schlum. VES 1.00 18.00 9.00 10.00 21.50 0.0 0.00 -56.0 17.115 180.086
 Schlum. VES 1.00 16.00 8.00 9.00 21.17 0.0 0.00 -56.0 12.735 105.852
 Schlum. VES 1.00 14.00 7.00 8.00 19.70 0.0 0.00 -56.0 22.335 149.594
 Schlum. VES 1.00 12.00 6.00 7.00 19.92 0.0 0.00 -56.0 13.142 62.183
 Schlum. VES 1.00 10.00 5.00 6.00 19.46 0.0 0.00 -56.0 15.933 51.449
 Schlum. VES 1.00 8.00 4.00 5.00 17.98 0.0 0.00 -56.0 11.552 24.222
 Schlum. VES 1.00 6.00 3.00 4.00 16.74 0.0 0.00 -56.0 6.205 6.987
