Injection timings : 
on	off	delay_ui	delay_m	interval_m	subinterval_m	per_meas	smpl_rate
400	400	300	10	50	5	12	1

Type	C1(x)	C1(y)	C1(z)	C2(x)	C2(y)	C2(z)	P1(x)	P1(y)	P1(z)	P2(x)	P2(y)	P2(z)	MP(x)	MP(y)	MP(z)	K	a	b	I	U	Rho	Sp	M	Z	P	D	M0	M1	M2	M3	M4	Channel	U/I gain	Filter (Fcut1)	Inj.U	Time
GND	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	5.00	5.00	5.97	60.00	10057.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:52:52
GND	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	1.00	5.00	5.00	6.85	60.00	8763.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:25:59
GND	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	1.00	5.00	5.00	6.30	60.00	9521.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:26:21
GND	15.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.00	0.00	0.00	1.00	5.00	5.00	7.45	60.00	8054.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:15:31
GND	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	0.00	0.00	1.00	5.00	5.00	6.94	60.00	8643.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:16:36
GND	25.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.00	0.00	0.00	1.00	5.00	5.00	6.28	60.00	9551.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	4	0	03.03.2008 18:27:10
GND	30.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30.00	0.00	0.00	1.00	5.00	5.00	6.60	60.00	9092.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:16:41
GND	35.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	35.00	0.00	0.00	1.00	5.00	5.00	6.36	60.00	9429.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:16:43
GND	40.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	40.00	0.00	0.00	1.00	5.00	5.00	5.92	60.00	10136.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:53:10
GND	45.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	45.00	0.00	0.00	1.00	5.00	5.00	5.11	60.00	11747.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:53:41
GND	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.00	0.00	0.00	1.00	5.00	5.00	6.50	60.00	9231.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:16:53
GND	55.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	55.00	0.00	0.00	1.00	5.00	5.00	5.35	60.00	11218.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:53:56
GND	60.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	60.00	0.00	0.00	1.00	5.00	5.00	6.24	60.00	9617.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	4	0	03.03.2008 18:27:48
GND	65.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	65.00	0.00	0.00	1.00	5.00	5.00	5.88	60.00	10210.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:54:41
GND	70.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	70.00	0.00	0.00	1.00	5.00	5.00	6.15	60.00	9756.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	4	0	03.03.2008 18:27:53
GND	75.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	75.00	0.00	0.00	1.00	5.00	5.00	6.71	60.00	8946.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	4	0	03.03.2008 18:27:56
GND	80.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	80.00	0.00	0.00	1.00	5.00	5.00	6.55	60.00	9161.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	4	0	03.03.2008 18:27:58
GND	85.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	85.00	0.00	0.00	1.00	5.00	5.00	6.01	60.00	9982.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	4	0	03.03.2008 18:28:01
GND	90.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	90.00	0.00	0.00	1.00	5.00	5.00	5.56	60.00	10784.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	4	0	03.03.2008 18:28:03
GND	95.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	95.00	0.00	0.00	1.00	5.00	5.00	6.61	60.00	9072.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	4	0	03.03.2008 18:28:06
GND	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	1.00	5.00	5.00	5.91	60.00	10152.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	4	0	03.03.2008 18:28:08
GND	105.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	105.00	0.00	0.00	1.00	5.00	5.00	5.80	60.00	10352.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	4	0	03.03.2008 18:28:11
GND	110.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	110.00	0.00	0.00	1.00	5.00	5.00	6.46	60.00	9288.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	4	0	03.03.2008 18:28:13
GND	115.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	115.00	0.00	0.00	1.00	5.00	5.00	5.96	60.00	10062.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	4	0	03.03.2008 18:28:16
GND	120.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	120.00	0.00	0.00	1.00	5.00	5.00	6.76	60.00	8881.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	4	0	03.03.2008 18:28:18
GND	125.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	125.00	0.00	0.00	1.00	5.00	5.00	6.98	60.00	8594.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	4	0	03.03.2008 18:28:21
GND	130.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	130.00	0.00	0.00	1.00	5.00	5.00	7.77	60.00	7723.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	4	0	03.03.2008 18:28:23
GND	135.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	135.00	0.00	0.00	1.00	5.00	5.00	6.37	60.00	9414.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	4	0	03.03.2008 18:28:26
GND	140.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	140.00	0.00	0.00	1.00	5.00	5.00	6.46	60.00	9288.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	4	0	03.03.2008 18:28:28
GND	145.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	145.00	0.00	0.00	1.00	5.00	5.00	6.90	60.00	8689.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	4	0	03.03.2008 18:28:30
GND	150.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	150.00	0.00	0.00	1.00	5.00	5.00	6.56	60.00	9140.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	4	0	03.03.2008 18:28:33
GND	155.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	155.00	0.00	0.00	1.00	5.00	5.00	6.84	60.00	8766.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:57:37
GND	160.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	160.00	0.00	0.00	1.00	5.00	5.00	6.68	60.00	8979.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:58:08
GND	165.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	165.00	0.00	0.00	1.00	5.00	5.00	6.77	60.00	8868.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:58:11
GND	170.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	170.00	0.00	0.00	1.00	5.00	5.00	6.96	60.00	8626.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:58:13
GND	175.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	175.00	0.00	0.00	1.00	5.00	5.00	6.68	60.00	8975.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:58:16
GND	180.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	180.00	0.00	0.00	1.00	5.00	5.00	7.05	60.00	8512.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:58:18
GND	185.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	185.00	0.00	0.00	1.00	5.00	5.00	8.72	60.00	6877.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:58:21
GND	190.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	190.00	0.00	0.00	1.00	5.00	5.00	6.94	60.00	8651.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:58:23
GND	195.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	195.00	0.00	0.00	1.00	5.00	5.00	6.37	60.00	9412.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:58:26
